"order_id","order_date","ship_date","delivery_duration","delivery_date","shipping_method","carrier","shipping_cost","delivery_status","warehouse_id"
1172,2023-07-03,2023-07-06,10,2023-07-16,"same-day","dhl",47.24,"on-time",5
1173,2024-03-16,2024-03-19,10,2024-03-29,"express","dhl",41.96,"delayed",5
1174,2024-03-12,2024-03-14,8,2024-03-22,"express","usps",45.05,"on-time",3
1175,2022-09-22,2022-09-26,2,2022-09-28,"same-day","usps",31.02,"on-time",5
1176,2023-08-03,2023-08-04,9,2023-08-13,"standard","usps",12.34,"delayed",2
1177,2021-09-05,2021-09-09,2,2021-09-11,"standard","ups",42.81,"on-time",5
1178,2023-08-21,2023-08-23,10,2023-09-02,"same-day","fedex",21.12,"on-time",1
1179,2023-02-04,2023-02-07,8,2023-02-15,"express","ups",17.99,"on-time",4
1180,2022-08-16,2022-08-17,5,2022-08-22,"standard","dhl",48.82,"delayed",2
1181,2022-02-17,2022-02-20,10,2022-03-02,"standard","fedex",44.87,"delayed",2
1182,2023-06-28,2023-07-03,4,2023-07-07,"express","ups",39.84,"on-time",4
1183,2024-05-28,2024-05-31,3,2024-06-03,"standard","usps",14.74,"on-time",3
1184,2021-02-04,2021-02-07,4,2021-02-11,"same-day","usps",38.54,"delayed",3
1185,2022-03-09,2022-03-14,3,2022-03-17,"express","ups",31.48,"on-time",4
1186,2021-12-28,2022-01-01,10,2022-01-11,"same-day","dhl",48.5,"delayed",2
1187,2024-08-18,2024-08-20,3,2024-08-23,"standard","ups",34.31,"delayed",5
1188,2023-01-19,2023-01-20,7,2023-01-27,"standard","dhl",10.84,"on-time",4
1189,2021-03-20,2021-03-22,10,2021-04-01,"standard","fedex",49.08,"on-time",2
1190,2023-01-14,2023-01-17,3,2023-01-20,"express","ups",19.21,"on-time",3
1191,2024-03-30,2024-04-03,10,2024-04-13,"standard","dhl",30.37,"on-time",5
1192,2021-03-10,2021-03-12,8,2021-03-20,"standard","usps",18.41,"on-time",3
1193,2022-04-03,2022-04-08,5,2022-04-13,"standard","ups",42.69,"on-time",2
1194,2021-08-22,2021-08-24,10,2021-09-03,"standard","fedex",20.23,"on-time",2
1195,2023-06-23,2023-06-26,10,2023-07-06,"standard","usps",36.01,"delayed",4
1196,2024-01-06,2024-01-11,3,2024-01-14,"same-day","fedex",11.21,"on-time",2
1197,2023-10-29,2023-11-02,10,2023-11-12,"express","ups",44.19,"delayed",1
1198,2024-01-28,2024-01-30,5,2024-02-04,"standard","ups",29.17,"delayed",3
1199,2023-01-19,2023-01-22,6,2023-01-28,"standard","ups",38.76,"delayed",2
1200,2023-10-21,2023-10-26,3,2023-10-29,"same-day","ups",23.87,"on-time",2
1201,2023-08-08,2023-08-09,5,2023-08-14,"same-day","dhl",42.04,"on-time",3
1202,2024-01-07,2024-01-08,9,2024-01-17,"same-day","fedex",12.93,"on-time",4
1203,2021-12-23,2021-12-26,4,2021-12-30,"express","fedex",22.87,"on-time",4
1204,2023-02-15,2023-02-18,4,2023-02-22,"express","fedex",48.56,"returned",3
1205,2022-01-16,2022-01-19,8,2022-01-27,"same-day","usps",48.4,"on-time",1
1206,2021-01-18,2021-01-20,5,2021-01-25,"express","dhl",28.6,"delayed",3
1207,2024-04-13,2024-04-15,4,2024-04-19,"express","dhl",49.6,"delayed",1
1208,2021-09-10,2021-09-11,7,2021-09-18,"same-day","dhl",5.37,"on-time",2
1209,2024-04-14,2024-04-15,9,2024-04-24,"standard","usps",45.68,"on-time",1
1210,2021-07-13,2021-07-18,8,2021-07-26,"same-day","usps",21.8,"on-time",2
1211,2024-01-21,2024-01-26,10,2024-02-05,"express","ups",11.97,"delayed",2
1212,2024-03-20,2024-03-23,6,2024-03-29,"same-day","fedex",5.23,"on-time",3
1213,2022-04-11,2022-04-12,8,2022-04-20,"standard","fedex",45.92,"on-time",2
1214,2023-11-17,2023-11-19,8,2023-11-27,"same-day","dhl",23.19,"on-time",3
1215,2021-09-01,2021-09-06,9,2021-09-15,"same-day","fedex",7.8,"delayed",3
1216,2022-06-28,2022-06-29,2,2022-07-01,"same-day","fedex",34.11,"on-time",3
1217,2024-11-20,2024-11-23,6,2024-11-29,"standard","usps",14.62,"on-time",2
1218,2021-09-03,2021-09-08,7,2021-09-15,"same-day","ups",18.04,"on-time",4
1219,2021-09-22,2021-09-27,4,2021-10-01,"express","fedex",9.1,"on-time",5
1220,2024-04-27,2024-04-30,9,2024-05-09,"express","dhl",26.9,"on-time",4
1221,2021-07-29,2021-07-31,7,2021-08-07,"same-day","dhl",19.89,"on-time",4
1222,2021-02-16,2021-02-21,7,2021-02-28,"express","fedex",33.37,"on-time",2
1223,2024-01-23,2024-01-24,5,2024-01-29,"same-day","fedex",36.85,"delayed",1
1224,2021-11-25,2021-11-26,4,2021-11-30,"standard","ups",20.76,"on-time",3
1225,2022-09-17,2022-09-18,9,2022-09-27,"standard","fedex",25.67,"delayed",2
1226,2023-06-04,2023-06-08,2,2023-06-10,"standard","dhl",46.22,"on-time",3
1227,2021-09-23,2021-09-26,6,2021-10-02,"same-day","usps",9.63,"on-time",4
1228,2022-09-14,2022-09-15,4,2022-09-19,"same-day","dhl",48.65,"on-time",4
1229,2023-11-05,2023-11-07,3,2023-11-10,"standard","dhl",10.13,"on-time",5
1230,2023-05-27,2023-05-28,5,2023-06-02,"standard","fedex",40.64,"on-time",2
1231,2022-03-29,2022-03-30,8,2022-04-07,"standard","usps",45.05,"on-time",1
1232,2021-04-23,2021-04-24,5,2021-04-29,"express","usps",42.48,"delayed",3
1233,2021-03-26,2021-03-31,9,2021-04-09,"same-day","dhl",12.74,"on-time",1
1234,2023-02-28,2023-03-05,3,2023-03-08,"standard","dhl",49.56,"on-time",2
1235,2021-07-08,2021-07-11,2,2021-07-13,"standard","usps",11.19,"on-time",1
1236,2022-04-06,2022-04-08,4,2022-04-12,"standard","fedex",25.12,"on-time",1
1237,2024-10-28,2024-10-29,5,2024-11-03,"express","fedex",39.62,"on-time",5
1238,2022-05-06,2022-05-09,2,2022-05-11,"standard","dhl",30.61,"on-time",4
1239,2021-04-20,2021-04-22,8,2021-04-30,"standard","usps",34.14,"delayed",1
1240,2024-05-21,2024-05-26,8,2024-06-03,"same-day","dhl",7.7,"on-time",1
1241,2022-05-05,2022-05-08,6,2022-05-14,"express","dhl",39.2,"on-time",2
1242,2022-01-18,2022-01-19,7,2022-01-26,"express","usps",26.37,"on-time",2
1243,2023-01-19,2023-01-22,10,2023-02-01,"same-day","dhl",10.24,"delayed",1
1244,2022-10-18,2022-10-19,9,2022-10-28,"standard","dhl",18.29,"on-time",4
1245,2024-05-18,2024-05-21,9,2024-05-30,"standard","ups",6.62,"on-time",4
1246,2021-11-19,2021-11-24,2,2021-11-26,"standard","ups",24.98,"on-time",2
1247,2021-03-01,2021-03-06,6,2021-03-12,"same-day","fedex",28.58,"delayed",4
1248,2022-11-01,2022-11-06,7,2022-11-13,"same-day","fedex",29.75,"delayed",4
1249,2023-05-24,2023-05-26,2,2023-05-28,"express","ups",6.18,"on-time",5
1250,2023-08-28,2023-08-30,3,2023-09-02,"same-day","fedex",25.12,"on-time",3
1251,2021-05-15,2021-05-17,8,2021-05-25,"same-day","fedex",17.82,"on-time",1
1252,2023-12-14,2023-12-17,8,2023-12-25,"standard","dhl",22.46,"delayed",3
1253,2024-08-31,2024-09-05,4,2024-09-09,"same-day","usps",9.02,"on-time",3
1254,2021-09-03,2021-09-05,6,2021-09-11,"same-day","ups",5.29,"delayed",4
1255,2021-08-30,2021-09-03,6,2021-09-09,"same-day","dhl",48.82,"on-time",1
1256,2023-01-28,2023-02-02,8,2023-02-10,"standard","fedex",44.98,"delayed",4
1257,2024-05-30,2024-05-31,10,2024-06-10,"express","fedex",21.95,"on-time",3
1258,2024-08-05,2024-08-07,5,2024-08-12,"standard","ups",38.11,"on-time",2
1259,2024-04-17,2024-04-21,5,2024-04-26,"express","dhl",24.1,"on-time",5
1260,2024-01-22,2024-01-23,7,2024-01-30,"same-day","ups",6.61,"on-time",3
1261,2022-11-23,2022-11-24,9,2022-12-03,"same-day","ups",23.16,"on-time",3
1262,2022-01-26,2022-01-30,6,2022-02-05,"express","fedex",28.09,"on-time",5
1263,2023-01-08,2023-01-13,7,2023-01-20,"express","dhl",38.88,"delayed",2
1264,2023-05-07,2023-05-10,10,2023-05-20,"express","usps",46.59,"on-time",5
1265,2021-03-31,2021-04-01,2,2021-04-03,"standard","dhl",33.1,"on-time",3
1266,2021-05-25,2021-05-28,8,2021-06-05,"same-day","ups",48.31,"on-time",3
1267,2024-05-16,2024-05-19,3,2024-05-22,"standard","usps",20.73,"on-time",2
1268,2023-04-29,2023-05-03,2,2023-05-05,"express","ups",49.69,"on-time",1
1269,2024-09-23,2024-09-27,4,2024-10-01,"express","fedex",20.71,"on-time",5
1270,2022-10-27,2022-11-01,4,2022-11-05,"same-day","dhl",18.03,"delayed",4
1271,2024-10-19,2024-10-22,3,2024-10-25,"standard","ups",18.46,"on-time",5
1272,2021-08-06,2021-08-10,7,2021-08-17,"same-day","dhl",42.33,"on-time",2
1273,2024-03-14,2024-03-16,8,2024-03-24,"same-day","usps",33.9,"on-time",5
1274,2023-11-13,2023-11-15,8,2023-11-23,"standard","dhl",46.47,"on-time",2
1275,2021-08-04,2021-08-05,3,2021-08-08,"express","usps",30.09,"on-time",4
1276,2023-08-09,2023-08-13,6,2023-08-19,"express","usps",14.95,"on-time",3
1277,2021-09-07,2021-09-09,8,2021-09-17,"standard","usps",42.84,"on-time",2
1278,2023-12-03,2023-12-04,8,2023-12-12,"express","ups",37.41,"returned",2
1279,2023-08-22,2023-08-24,9,2023-09-02,"express","fedex",38.72,"on-time",3
1280,2022-06-22,2022-06-25,2,2022-06-27,"express","ups",32.88,"on-time",1
1281,2022-12-03,2022-12-05,4,2022-12-09,"express","fedex",41.96,"on-time",4
1282,2023-02-09,2023-02-11,4,2023-02-15,"same-day","ups",45.49,"delayed",5
1283,2024-02-13,2024-02-17,9,2024-02-26,"same-day","dhl",5.92,"on-time",1
1284,2023-05-13,2023-05-17,9,2023-05-26,"express","dhl",32.05,"on-time",2
1285,2023-10-29,2023-10-31,8,2023-11-08,"same-day","dhl",36.67,"on-time",5
1286,2021-05-24,2021-05-26,6,2021-06-01,"same-day","fedex",23.12,"on-time",4
1287,2024-04-03,2024-04-05,7,2024-04-12,"same-day","usps",20.7,"delayed",1
1288,2021-01-10,2021-01-12,4,2021-01-16,"same-day","ups",35.89,"on-time",3
1289,2022-08-06,2022-08-10,5,2022-08-15,"express","usps",12.33,"delayed",4
1290,2024-08-14,2024-08-19,3,2024-08-22,"same-day","ups",11.45,"on-time",2
1291,2023-12-15,2023-12-16,8,2023-12-24,"express","dhl",34.42,"delayed",1
1292,2024-07-19,2024-07-23,2,2024-07-25,"express","dhl",38.59,"delayed",1
1293,2022-03-27,2022-03-29,4,2022-04-02,"standard","ups",18.22,"delayed",3
1294,2022-03-14,2022-03-17,10,2022-03-27,"standard","dhl",21.11,"on-time",3
1295,2021-10-03,2021-10-06,8,2021-10-14,"standard","ups",22.93,"on-time",1
1296,2021-04-30,2021-05-02,2,2021-05-04,"same-day","ups",35.4,"on-time",5
1297,2023-10-26,2023-10-27,7,2023-11-03,"standard","fedex",31.58,"delayed",4
1298,2024-05-15,2024-05-18,9,2024-05-27,"same-day","dhl",31.6,"on-time",4
1299,2022-01-21,2022-01-24,6,2022-01-30,"standard","fedex",35.06,"delayed",1
1300,2022-11-12,2022-11-16,6,2022-11-22,"same-day","fedex",32.49,"on-time",1
1301,2022-02-21,2022-02-23,9,2022-03-04,"express","usps",18.14,"on-time",4
1302,2022-11-28,2022-12-02,3,2022-12-05,"standard","fedex",15.56,"on-time",1
1303,2024-10-11,2024-10-12,2,2024-10-14,"standard","fedex",32.13,"delayed",5
1304,2022-09-11,2022-09-12,5,2022-09-17,"same-day","ups",25.55,"on-time",3
1305,2022-12-22,2022-12-23,5,2022-12-28,"express","dhl",13.63,"on-time",1
1306,2023-03-13,2023-03-15,7,2023-03-22,"express","dhl",19.92,"on-time",3
1307,2023-03-13,2023-03-18,7,2023-03-25,"standard","fedex",39.06,"delayed",4
1308,2021-12-24,2021-12-27,9,2022-01-05,"same-day","ups",37.64,"on-time",1
1309,2021-01-25,2021-01-29,6,2021-02-04,"same-day","dhl",41.54,"on-time",5
1310,2021-01-29,2021-01-30,5,2021-02-04,"standard","ups",49.01,"on-time",4
1311,2024-04-13,2024-04-18,2,2024-04-20,"same-day","ups",17.98,"on-time",3
1312,2023-09-28,2023-09-30,8,2023-10-08,"same-day","fedex",37.11,"returned",1
